# exercise | Think | Tools | Approach | Why; @answer keeps the already specific conceptual explanation.
F01-1|Ask whether the desired output is a known label or a newly discovered grouping.|Supervised targets, class labels and clustering.|Identify what is already labelled in the table, then name the prediction task.|@answer
F01-2|A numeric outcome, a grouping and a new coordinate system answer different questions.|Regression, clustering, PCA and the role of y.|For each scenario, state the desired output and whether a target must be supplied.|@answer
F02-1|The estimator needs inputs and outcomes in separate objects without changing their row order.|Dataframe column selection; X as a table and y as a series.|Select the distance column as a feature table and the duration column as its aligned target.|Keeping X two-dimensional preserves the estimator interface even with one feature; the separate y supplies the outcomes to learn.
F02-2|Weight may add information available before the delivery outcome is known.|A list of dataframe column names.|Select the two permitted measurements together and keep the supplied row order.|The resulting two-column table includes only available predictors, not the duration being predicted.
F02-3|The species-like label is what a classifier must learn to predict, not an input measurement.|Feature selection and target exclusion.|Form a table from the two measurement columns and inspect that label is absent.|Excluding the answer column prevents the feature table from directly revealing the prediction target.
F03-1|Creating an estimator and learning its parameters are separate steps.|LinearRegression and fit with aligned X/y.|Import the estimator, create it, and fit the distance table to duration values.|The constructor only specifies the estimator; fit learns the line from this population and preserves it in model.
F03-2|A fresh population should produce a fresh fit, not reuse an earlier coefficient.|LinearRegression.fit and the fitted coef_ attribute.|Fit on this supplied batch, then inspect the learned coefficient array.|Reading coef_ after this fit links the slope to these 24 observations; it is not a constructor setting.
F04-1|Prediction rows must use the feature name and shape the fitted line expects.|pd.DataFrame and model.predict.|Build the two requested distance rows, pass them through the supplied fitted model and retain their order.|Prediction applies the existing learned line; it does not train a new model on the requested distances.
F04-2|A single observation still needs a two-dimensional feature table.|A one-row dataframe and predict.|Create one row with the distance column and predict from the supplied model.|Keeping the feature schema avoids confusing one observation with a differently shaped array.
F04-3|An identifier is metadata rather than a feature the model learned.|Column selection before predict.|Select the fitted distance schema from incoming, then predict both rows together.|Selecting only the trained feature keeps the identifier out while retaining the association with incoming row order.
F05-1|The sign of an error matters when you want to see underprediction and overprediction.|pd.DataFrame and aligned subtraction.|Pair each evaluation outcome with its supplied prediction, then calculate actual minus predicted.|The table exposes row-level signed errors that a single aggregate error score would hide.
F05-2|A uniform upward shift can change error even though the prediction ordering stays the same.|root_mean_squared_error and vector addition.|Score the original and shifted predictions against the same outcomes, in the requested order.|Holding outcomes fixed isolates the effect of the prediction shift; RMSE combines the resulting squared errors in target units.
F05-3|An aggregate error measure does not set a maximum error for every row.|RMSE units versus row-level guarantees.|Identify the target unit, then reject statements claiming all errors equal the summary.|@answer
F06-1|The evidence for new-row performance comes from the same held-away comparison.|Training error, validation error and the overfitting gap.|Compare validation errors on the supplied common evaluation, then qualify the claim.|@answer
F06-2|Accidental training patterns may not repeat in another sample.|Fitted parameters, memorisation and held-away observations.|Explain what influenced fitting and what a genuinely new row can reveal.|@answer
