N01-1|Layer widths describe internal representation capacity rather than the number of target classes.|Hidden-layer tuples and task-dependent outputs.|Read each tuple entry as a hidden layer, then separate the output layer’s role.|@answer
N01-2|The output must have the same meaning as the quantity the task asks to predict.|Continuous targets versus class outputs.|Identify whether the requested outcome is a measured value or a category.|@answer
N02-1|The trace names the objective and population being optimised.|Training loss and held-away performance.|State what the decreasing sequence measures and what evidence is absent.|@answer
N02-2|Unequal units can make optimisation steps poorly balanced.|Feature scaling and the fitting boundary.|Explain why rescaling can help optimisation, then specify where its statistics may be learned.|@answer
N02-3|Optimisation success and generalisation success are separate claims.|Training loss, validation error and overfitting.|Compare the two trends before describing what the network has learned more closely.|@answer
N03-1|The supplied pipeline keeps feature scaling attached to the neural classifier.|Pipeline.fit and predict.|Fit the training pair through the supplied recipe and predict held-away class labels.|The pipeline learns preparation only from training rows and applies the same representation during classification.
N03-2|Hidden width is a candidate choice rather than a conclusion from training loss.|GridSearchCV, model__hidden_layer_sizes and stratified macro F1.|Compare the two one-layer widths on matching training folds and retain their mean scores.|The tuple describes each architecture; outer stratified validation supports selection without consulting final rows.
N03-3|Similar predictive evidence leaves room for practical constraints to decide.|Fold variation, convergence warnings, runtime and interpretability.|Compare the common evidence and explain the cost or stability trade-off behind a nomination.|@answer
N04-1|The target wrapper learns a separate transformation of y during fit.|TransformedTargetRegressor and its fitted transformer_.|Fit the full supplied recipe and inspect the target transformer’s learned mean.|The target scale is learned from training outcomes within the wrapper, rather than globally before validation.
N04-2|The wrapper is responsible for reversing its target transformation.|The complete pipeline’s predict method.|Fit on the training pair, then request predictions through the outer pipeline.|The returned values are back in the original target units, so they can be compared directly with original outcomes.
N04-3|The searched regressor sits inside a target wrapper inside the pipeline.|model__regressor__hidden_layer_sizes, GridSearchCV and KFold.|Address the nested width parameter and compare the two candidates on training-only negative RMSE.|The nested path changes the neural architecture while preserving fold-local feature and target preparation.
N04-4|Metric inputs must use the same target unit system.|root_mean_squared_error and wrapper predictions.|Predict through the fitted wrapper and score those values against original y_test.|Using inverse-transformed predictions avoids reporting an error that mixes scaled predictions with original outcomes.
N05-1|Reaching the iteration cap is a diagnostic signal rather than a performance verdict.|Convergence warnings, loss traces and validation.|Identify what further optimisation and predictive evidence should be inspected.|@answer
N05-2|A larger budget may improve optimisation without producing a meaningful predictive gain.|Loss stability and matching validation results.|Compare both optimisation traces and validation evidence before justifying additional iterations.|@answer
N05-3|Different validation layers serve stopping, selection and final reporting.|Internal early stopping, outer CV and the reserved holdout.|Assign each decision to the evidence layer intended to support it.|@answer
N05-4|Randomly selecting an internal validation subset can violate forward time order.|Chronological boundaries and early-stopping splits.|Trace whether future observations could influence fits evaluated on earlier observations.|@answer
N06-1|The objective is transferable performance, not the smallest training error.|Regularisation strength and validation error.|Compare the supplied validation errors while acknowledging the training-fit trade-off.|@answer
N06-2|Extra capacity needs evidence of a useful benefit.|Training loss, validation performance and computational cost.|Separate the demonstrated training change from the unsupported generalisation claim.|@answer
N06-3|A finite grid answers a finite comparison question.|Candidate search space and validation scope.|Name what was compared and what architectures or settings remain untested.|@answer
U01-1|Reference labels and context fields would change the meaning of measurement-based discovery.|Explicit measurement-column selection.|Keep only the four declared numeric measurements and inspect the resulting schema.|Excluding species and context keeps grouping based on the intended measured similarities rather than known labels.
U01-2|A supervised correctness score requires a target that defines correct answers.|Discovery objectives and external reference interpretation.|Explain what drives fitting and distinguish it from a later reference comparison.|@answer
U02-1|A large numerical unit can dominate distances without being substantively more important.|StandardScaler.fit_transform.|Learn a standardised representation of the declared discovery population.|For this descriptive task the supplied population defines the scale; later supervised use would require a different fitting boundary.
U02-2|Raw and standardised distances describe different coordinate systems.|np.linalg.norm and paired-row subtraction.|Calculate the first pair’s distance before and after fitting the declared scaler.|The comparison exposes the effect of units on geometry rather than claiming the numerical distances are directly interchangeable.
U02-3|A transformation’s permitted fitting population depends on the downstream claim.|Fold-local preparation in supervised evaluation.|Trace which rows must remain unknown to each evaluated fit.|@answer
U03-1|Centroids live in the same coordinate system used for fitting.|KMeans, n_clusters, n_init and cluster_centers_.|Fit the declared reproducible three-centroid model to scaled values and inspect its centres.|Multiple starts reduce dependence on a single initialisation; the resulting centres are in standardised units.
U03-2|The assigned label identifies which fitted centroid to compare with the row.|labels_, cluster_centers_ and Euclidean norm.|Read the first assignment, select its centre and measure the row-to-centre distance.|Using the assigned centre connects the categorical group ID with the distance objective actually optimised.
U03-3|Fit in a scale suitable for distance, but explain groups in meaningful original units.|StandardScaler, KMeans.fit_predict and groupby.mean.|Scale the two permitted measurements, obtain assignments and group the original table by those aligned labels.|Separating fitting geometry from reporting units makes the profiles understandable without letting the outcome define groups.
U04-1|Inertia is a within-cluster squared-distance objective.|The fitted KMeans.inertia_ attribute.|Fit the declared k on the supplied scaled population and read its objective value.|The value summarises compactness for this representation and population; it is not supervised accuracy.
