F-R1-1|Recall which object must remain a two-dimensional table even for one predictor.|Dataframe column selection and aligned target Series.|Separate the permitted predictor from its outcome without reordering rows.|The new population changes the values, but the X/y contract still separates inputs from the outcome to be learned.
F-R1-2|Recall the schema expected by the supplied fitted line.|A schema-matched dataframe and predict.|Represent both requested observations as rows and apply the existing estimator.|Using the fitted model retrieves prediction as a separate operation from learning new coefficients.
F-R1-3|Recall which subtraction distinguishes underprediction from overprediction.|Aligned table construction and signed residuals.|Pair outcomes and predictions, then add the signed difference for each row.|Keeping actual, predicted and residual values together makes the direction and size of errors inspectable on this new population.
F-R2-1|A renamed target source can still reveal the answer.|Feature availability and target-derived leakage.|Identify the source used to define popular and exclude it from the permitted measurement table.|The two permitted measurements preserve the intended prediction task; winpercent would reconstruct the target directly.
F-R2-2|Recall how class labels affect partition construction without becoming features.|Joint train_test_split, stratification and class counts.|Split the permitted measurements and popular target together under the declared design, then inspect test balance.|Stratification preserves representation of the fixed classes while joint splitting maintains feature/target alignment.
F-R2-3|The two errors concern different populations and different claims.|Training fit and new-route generalisation.|Explain why a small fitting error does not outweigh large errors on routes not used to fit.|@answer
W-R1-1|Recall which rows are allowed to define the scale.|StandardScaler.fit versus transform.|Learn preparation from the development table and reuse it on the reserved table.|This restores the information boundary by preventing evaluation rows from contributing means or spreads.
W-R1-2|Recall why prediction should not learn a new category schema.|The fitted encoder’s transform method.|Represent the unseen category in the expected column and apply the existing encoder.|The result exercises the declared unknown-category policy while preserving training feature order and width.
W-R1-3|Recall the order needed within each feature-type branch.|Imputation, scaling, encoding, ColumnTransformer and Pipeline.|Build each preparation branch in dependency order, combine them and attach the estimator before fitting.|Keeping every learned step inside the pipeline prevents future validation folds from sharing globally fitted replacement values or schemas.
W-R2-1|A library field name does not redefine which rows were supplied.|Fold validation versus the outer final holdout.|Trace the population passed into the search before naming the evidence.|@answer
W-R2-2|Parameter nomination is a development decision.|Training-only selection and reserved evaluation.|Identify which population may influence the choice and why the other stays sealed.|@answer
W-R2-3|Recall how the last forward fold separates earlier fitting rows from later validation rows.|TimeSeriesSplit, positional indexing and LinearRegression.|Recover the last index pair, fit only its earlier block and predict the paired later block.|The new chronological population tests the same direction-of-time boundary without relying on a remembered row count.
R-R1-1|Recall what must stay fixed to interpret one predictor’s contribution.|Matched feature rows, predict and a difference.|Create the requested matched pair and subtract its predictions in row order.|The difference isolates the fitted weight contribution while holding distance unchanged in this retrieval population.
R-R1-2|Recall that the mathematical evaluation reference and a deployable training reference use different outcomes.|Means of explicitly named target populations.|Compute and label each mean without substituting one population for the other.|Reporting both values keeps the R² reference distinct from a dummy estimator learned on training outcomes.
R-R1-3|A city-level association does not identify a person-level intervention effect.|Observational confounding and aggregation limits.|Separate the unit of observation from the proposed intervention claim.|City averages can be associated because of many contextual differences. The fitted city-level coefficient neither identifies a causal intervention effect nor establishes an individual-level effect.
R-R2-1|Recall that two-input expansion creates interactions as well as powers.|PolynomialFeatures and fitted feature names.|Fit the requested expansion to the declared schema and inspect its generated names.|The named representation makes all degree-two terms visible without assuming expansion means only squaring each column.
R-R2-2|Recall where every preparation step must be fitted during degree selection.|A complete polynomial pipeline, KFold and GridSearchCV.|Build the recipe, compare the two degrees on matching training folds and retain their mean scores.|Fold-local expansion and scaling keep the selection evidence independent of each fold’s validation rows.
R-R2-3|Recall how a leaf constraint trades finer fit for more supported terminal groups.|GridSearchCV and min_samples_leaf.|Compare the requested sizes with the supplied folds and express the scores as positive errors.|This retrieves complexity selection using held-out training evidence rather than selecting from final-test performance.
