R01-1|A fitted line stores its learned slope separately from its offset.|coef_, intercept_ and scalar conversion.|Read the single distance coefficient and intercept from the supplied fitted model.|The named values distinguish change per distance unit from the predicted value at zero distance.
R01-2|The intercept cancels when comparing two predictions on the same line.|The fitted slope and multiplication.|Multiply the distance change by the fitted distance coefficient.|A five-unit change scales the slope by five; adding the intercept again would confuse a difference with a level.
R01-3|A percentile unit is not a gram of an ingredient.|Feature units, association and causal interpretation.|Define a full unit on the stored scale, then qualify what the fitted association represents.|@answer
R02-1|One measure reports error in outcome units; the other compares squared error with a reference.|root_mean_squared_error and r2_score.|Apply both metrics to the same aligned outcomes and predictions, then store each named result.|Using identical rows makes the two summaries complementary descriptions of the same prediction evidence.
R02-2|R² compares with a particular constant predictor, not with every possible relationship.|Evaluation-mean squared error and negative R².|Ask what happens when the model’s squared error exceeds that reference.|@answer
R02-3|The mean used in the R² definition need not equal a deployable dummy model’s training mean.|Series.mean on the two target populations.|Calculate each mean from its own labelled population and report both.|Separating these values prevents confusing the evaluation-mean mathematical reference with a training-fitted reference estimator.
R03-1|A residual keeps the direction of the prediction error.|LinearRegression, actual-minus-predicted subtraction and scatter.|Fit the training line, compute held-away residuals and plot them against x with a zero reference.|Signed errors reveal systematic curvature that an aggregate RMSE hides; these supplied diagnostic rows are exploratory evidence, not a final untouched-test claim.
R03-2|A repeated residual shape suggests structure the current line misses.|Residual patterns and training-only candidate selection.|Connect the shape to a possible representation change, then identify where it must be validated.|@answer
R03-3|Countries differ in more than the single plotted predictor.|Observational association, confounding and extrapolation.|Separate a predictive comparison from an intervention claim and state the range limitation.|@answer
R04-1|Coefficient labels must follow the order used when fitting the supplied two-feature model.|model.coef_ and pd.Series with an index.|Pair the fitted coefficients with distance and weight in training-column order.|Named coefficients preserve which conditional association each learned value describes.
R04-2|Holding distance fixed isolates the fitted contribution of the weight difference.|Two-row dataframe, predict and np.diff.|Construct the matched pair, predict in row order and subtract the first prediction from the second.|The comparison changes only weight, so the fitted difference has a clear conditional interpretation.
R04-3|A multiple-regression coefficient describes a comparison conditional on the other included columns.|Conditional association and feature units.|Name the outcome, the changed predictor and the predictor held fixed.|@answer
R05-1|The omitted indicator establishes the category against which the encoded coefficient is compared.|named_transformers_, categories_ and drop_idx_.|Reach the fitted service encoder and use its dropped-position metadata to identify the reference.|Reading fitted metadata avoids assuming an alphabetical reference or guessing from input order.
R05-2|Prepared features can outnumber and reorder the original columns.|get_feature_names_out and the final estimator’s coef_.|Retrieve names from the fitted preparation and align them with the fitted model’s coefficient array.|The labelled Series links each coefficient to the actual transformed representation used by the estimator.
R05-3|The encoded comparison still holds included chemistry predictors fixed.|Reference categories and conditional comparisons.|Describe the type contrast in the model’s feature context and qualify causal interpretation.|@answer
R06-1|Nearly duplicate predictors can share the same predictive contribution in unstable proportions.|Seeded noise, dataframe construction and LinearRegression.coef_.|Create the near-copy column, fit both columns together and label the resulting coefficients.|The tiny perturbation preserves strong correlation; inspecting both coefficients exposes instability that prediction quality alone can conceal.
R06-2|Large opposing terms can leave their sum nearly unchanged.|Correlated predictors and the linear weighted sum.|Explain how one coefficient’s change can be offset by another.|@answer
R07-1|A curved representation can be built before fitting a linear estimator.|PolynomialFeatures, degree and include_bias.|Fit the degree-two expansion to the single x column and inspect its transformed columns.|Excluding the bias avoids a duplicate constant term; the two output columns carry the original input and its square.
R07-2|Increasing degree adds a feature rather than directly selecting a better model.|PolynomialFeatures with a changed degree.|Transform the same x table with degree three and inspect the added column.|Holding the population fixed isolates the extra cubic feature; validation would still be needed to justify its use.
R07-3|With two inputs, degree two includes interactions as well as individual powers.|PolynomialFeatures.fit and get_feature_names_out.|Fit the expansion on the declared two-column schema and return its learned output names.|Names reveal both squared terms and the cross-product, making the expanded representation inspectable.
R08-1|Expansion belongs before scaling and the regularised estimator.|Pipeline, PolynomialFeatures, StandardScaler and Ridge.|Build the three named steps, then inspect the polynomial step’s training output.|The dimensions expose the representation entering later preparation; they do not by themselves establish predictive quality.
R08-2|Prediction must repeat the same fitted expansion and scaling used in training.|Pipeline.fit and Pipeline.predict.|Fit the complete recipe on training rows and predict the supplied evaluation rows through it.|Keeping all steps together prevents the evaluation data from learning its own scale or feature recipe.
R08-3|The degree is a selection choice that should be compared inside training folds.|GridSearchCV, KFold and polynomial__degree.|Search the declared degrees on the full pipeline with matching seeded folds and retain the mean scores.|Every fold refits expansion, scaling and Ridge on its fitting subset; the reserved rows do not choose the degree.
R08-4|Lower training error rewards flexibility even when it fails to transfer.|CV RMSE and the declared nomination goal.|Compare held-out training errors before deciding which candidate reaches final evaluation.|@answer
R09-1|Each leaf predicts a quantity learned from the training outcomes reaching it.|DecisionTreeRegressor, max_depth and plot_tree.|Fit the declared tree, render its labelled splits and predict the held-away rows.|The diagram connects threshold decisions to leaf values; the depth cap limits how finely the training population is partitioned.
R09-2|A leaf identifier and its predicted value describe different aspects of the same traversal.|apply and predict.|Create the requested one-row feature table and obtain both outputs from the fitted tree.|apply identifies the terminal node while predict returns that leaf’s learned outcome value.
R09-3|Threshold-based splits can operate directly on these original numeric units.|DecisionTreeRegressor.fit and predict with an explicit feature list.|Fit the declared tree on Candy training measurements and predict matching test columns.|Keeping the feature schema fixed transfers the tree workflow without introducing unnecessary distance scaling.
R10-1|Depth should be chosen from held-out training evidence rather than test error.|GridSearchCV, max_depth and negative-RMSE scoring.|Compare the stated depth grid with the supplied folds, then convert mean scores to positive errors.|Matching folds makes complexity comparisons fair; sign conversion reports error in the familiar smaller-is-better direction.
R10-2|A leaf-size constraint changes the smallest training group a tree may create.|min_samples_leaf in GridSearchCV.|Search the three declared minimum sizes on the same training-fold design and report positive RMSE.|The comparison tests whether larger leaves reduce harmful fine-grained fitting without consulting final rows.
R10-3|Split importance and residual patterns answer different questions.|Impurity importance, diagnostic errors and causality limits.|Explain the fitted importance, then state what remaining residual structure motivates.|@answer
R11-1|Prediction evidence alone does not identify what an intervention would change.|Association versus causal identification.|Identify the claim that needs assumptions or a study design beyond the fitted observational model.|@answer
R11-2|Failure of one evaluated recipe is not a test of every possible relationship.|Model scope, sample support and alternative specifications.|Rewrite the conclusion around the actual model, inputs and evaluation population.|@answer
C01-1|Matrix rows and columns have different meanings and need an explicit class order.|confusion_matrix with labels.|Pass actual labels first, predictions second and supply the requested A/B order.|An explicit order keeps true-class and predicted-class counts interpretable even when frequencies differ.
C01-2|Change the prediction, not the true label, for the specified observation.|Series.copy, iloc and confusion_matrix.|Copy predictions, update the requested position and rebuild the matrix against unchanged actual labels.|The copy isolates one prediction correction and shows how it moves a count between cells.
C01-3|A missing predicted class should not silently remove a matrix column.|The labels argument of confusion_matrix.|Supply all three class names in the declared order when constructing the matrix.|The fixed schema preserves a zero-prediction class and makes matrices comparable across runs.
C02-1|Precision starts from predicted positives; recall starts from actual positives.|precision_score, recall_score and pos_label.|Calculate both measures for the named positive class using the same aligned labels.|Explicitly naming B avoids relying on numeric-label defaults and preserves the intended error interpretation.
C02-2|Expanding positive predictions changes both the number caught and the number falsely flagged.|False positives, true positives, precision and recall.|Track the two denominators as more observations are labelled positive.|@answer
C02-3|Each class can be treated as positive in turn.|average=None, labels and a labelled dataframe.|Request per-class precision and recall in the same A/B order and align both arrays in a table.|The table exposes class-specific performance that one averaged score can hide.
C03-1|Macro averaging gives each class equal weight after its F1 is calculated.|f1_score with average='macro'.|Score the supplied actual and predicted labels with the requested averaging rule.|The macro summary balances class contributions rather than weighting them by how many rows they contain.
C03-2|Accuracy and macro F1 weight the evidence differently.|accuracy_score and f1_score.|Calculate both summaries from exactly the same predictions and label the results.|A common prediction set makes their difference reflect the metrics’ priorities rather than different models or rows.
C03-3|A majority reference learns its class from training labels, then faces the held-away class mix.|DummyClassifier, macro F1 and accuracy.|Fit the declared constant-label reference on training rows, predict test rows and calculate both metrics.|This establishes an honest simple reference and exposes how majority prediction can look different under accuracy and macro F1.
C04-1|Probability columns follow the estimator’s fitted class order.|predict_proba, classes_ and dataframe index.|Build the probability table with test-row indices and fitted class names.|Explicit row and class labels prevent a probability column from being attributed to the wrong observation or class.
